Chunk,ChunkTime_ms
0,351.798
1,347.345
2,318.363
3,348.827
4,306.368
5,326.192
6,325.56
7,341.22
8,326.492
9,357.437
10,324.162
11,342.426
12,302.848
13,333.722
14,325.715
15,330.772
16,311.032
17,350.949
18,360.49
19,318.545
20,347.705
21,349.309
22,319.543
23,320.711
24,344.346
25,305.847
26,325.88
27,348.815
28,321.44
29,342.106
30,319.007
31,309.742
32,325.006
33,324.996
34,334.735
35,343.519
36,349.099
37,304.029
38,348.548
39,314.851
40,321.997
41,322.023
42,324.511
43,317.718
44,313.44
45,361.52
46,334.393
47,337.413
48,332.905
49,333.057
Total,16855
